scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.00, SOLVE_F, 0.90, 1, 83, 77707, 32, 1417
dyngrid, 0.10, 0.98, SOLVE_F, 0.90, 1, 100, 9896, 34, 1349
dyngrid, 0.15, 0.97, SOLVE_F, 0.90, 0, 29, 84, 29, 996
dyngrid, 0.20, 0.96, SOLVE_F, 0.90, 1, 72, 1746, 31, 954
dyngrid, 0.25, 0.95, SOLVE_F, 0.90, 0, 29, 57, 29, 823
dyngrid, 0.30, 0.94, SOLVE_F, 0.90, 0, 36, 36, 36, 866
dyngrid, 0.35, 0.93, SOLVE_F, 0.90, 0, 29, 29, 29, 779
dyngrid, 0.40, 0.92, SOLVE_F, 0.90, 0, 32, 32, 32, 807
dyngrid, 0.45, 0.91, SOLVE_F, 0.90, 0, 29, 29, 29, 789
dyngrid, 0.50, 0.90, SOLVE_F, 0.90, 0, 29, 29, 29, 765
dyngrid, 0.55, 0.89, SOLVE_F, 0.90, 0, 29, 0, 29, 766
dyngrid, 0.60, 0.88, SOLVE_F, 0.90, 0, 33, 0, 33, 811
dyngrid, 0.65, 0.87, SOLVE_F, 0.90, 0, 94, 0, 94, 1695
dyngrid, 0.70, 0.86, SOLVE_F, 0.90, 0, 33, 0, 33, 821
dyngrid, 0.75, 0.85, SOLVE_F, 0.90, 0, 84, 0, 84, 1567
dyngrid, 0.80, 0.84, SOLVE_F, 0.90, 0, 29, 0, 29, 786
dyngrid, 0.85, 0.83, SOLVE_F, 0.90, 0, 71, 0, 71, 1378
dyngrid, 0.90, 0.82, SOLVE_F, 0.90, 0, 36, 0, 36, 878
dyngrid, 0.95, 0.81, SOLVE_F, 0.90, 0, 31, 0, 31, 805
dyngrid, 1.00, 0.80, SOLVE_F, 0.90, 0, 29, 0, 29, 865
dyngrid, 0.00, 1.00, SOLVE_F, 0.90, 0, 29, 435, 29, 1775
dyngrid, 0.15, 0.97, SOLVE_F, 0.90, 0, 30, 87, 30, 1274
dyngrid, 0.20, 0.96, SOLVE_F, 0.90, 10, 449, 16140, 49, 2041
dyngrid, 0.25, 0.95, SOLVE_F, 0.90, 0, 31, 61, 31, 1248
dyngrid, 0.30, 0.94, SOLVE_F, 0.90, 0, 38, 38, 38, 1366
dyngrid, 0.35, 0.93, SOLVE_F, 0.90, 0, 48, 48, 48, 1657
dyngrid, 0.40, 0.92, SOLVE_F, 0.90, 0, 32, 32, 32, 1228
dyngrid, 0.45, 0.91, SOLVE_F, 0.90, 0, 31, 31, 31, 1219
dyngrid, 0.50, 0.90, SOLVE_F, 0.90, 0, 40, 40, 40, 1452
dyngrid, 0.55, 0.89, SOLVE_F, 0.90, 0, 50, 0, 50, 1721
dyngrid, 0.65, 0.87, SOLVE_F, 0.90, 0, 29, 0, 29, 1167
dyngrid, 0.70, 0.86, SOLVE_F, 0.90, 0, 29, 0, 29, 1152
dyngrid, 0.75, 0.85, SOLVE_F, 0.90, 0, 55, 0, 55, 1849
dyngrid, 0.90, 0.82, SOLVE_F, 0.90, 0, 29, 0, 29, 1087
dyngrid, 0.95, 0.81, SOLVE_F, 0.90, 0, 42, 0, 42, 1486
dyngrid, 0.00, 1.00, SOLVE_F, 0.90, 5, 243, 54074, 32, 4186
dyngrid, 0.10, 0.98, SOLVE_F, 0.90, 28, 12727, 13601212, 69, 17454
dyngrid, 0.15, 0.97, SOLVE_F, 0.90, 2, 271, 43126, 35, 3222
dyngrid, 0.20, 0.96, SOLVE_F, 0.90, 0, 29, 57, 29, 2625
dyngrid, 0.25, 0.95, SOLVE_F, 0.90, 15, 518, 14580, 53, 4457
dyngrid, 0.30, 0.94, SOLVE_F, 0.90, 0, 45, 45, 45, 3772
dyngrid, 0.35, 0.93, SOLVE_F, 0.90, 0, 30, 30, 30, 2655
dyngrid, 0.40, 0.92, SOLVE_F, 0.90, 0, 29, 29, 29, 2572
dyngrid, 0.45, 0.91, SOLVE_F, 0.90, 0, 45, 45, 45, 3575
dyngrid, 0.50, 0.90, SOLVE_F, 0.90, 0, 42, 42, 42, 3510
