scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 0, 29, 435, 29, 1607
dyngrid, 0.02, 0.9960, SOLVE_P, 0.90, 0, 29, 429, 29, 1657
dyngrid, 0.10, 0.9800, SOLVE_P, 0.90, 0, 29, 135, 29, 963
dyngrid, 0.14, 0.9720, SOLVE_P, 0.90, 0, 29, 84, 29, 876
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 4, 85, 976, 33, 1015
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 7, 319, 10987, 43, 1319
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 1, 39, 114, 32, 804
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 0, 29, 57, 29, 722
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 29, 29, 29, 610
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 29, 29, 29, 922
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 30, 30, 30, 905
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 29, 29, 29, 871
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 112, 112, 112, 2490
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 29, 0, 29, 812
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 30, 0, 30, 902
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 40, 0, 40, 1440
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 31, 0, 31, 978
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 36, 0, 36, 1346
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 52, 0, 52, 2199
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 36, 0, 36, 1248
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 56, 0, 56, 2097
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 66, 0, 66, 2695
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 29, 0, 29, 1005
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 0, 29, 435, 29, 1709
dyngrid, 0.02, 0.9960, SOLVE_P, 0.90, 0, 30, 455, 30, 1561
dyngrid, 0.04, 0.9920, SOLVE_P, 0.90, 0, 29, 299, 29, 1304
dyngrid, 0.14, 0.9720, SOLVE_P, 0.90, 68, 3507, 240555, 99, 6536
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 5, 553, 78782, 33, 2166
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 0, 29, 57, 29, 922
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 46, 829, 21913, 85, 1868
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 47, 1966, 75465, 86, 4227
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 29, 29, 29, 831
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 60, 60, 60, 1614
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 65, 65, 65, 1501
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 65, 65, 65, 1475
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 29, 29, 29, 730
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 29, 0, 29, 883
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 117, 0, 117, 2293
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 84, 0, 84, 2227
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 39, 0, 39, 1374
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 62, 0, 62, 2301
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 29, 0, 29, 952
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 29, 0, 29, 895
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 29, 0, 29, 1154
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 67, 0, 67, 2486
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 31, 0, 31, 1556
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 1, 91, 89580, 29, 3668
dyngrid, 0.02, 0.9960, SOLVE_P, 0.90, 1, 1821, 35111175, 33, 30591
dyngrid, 0.04, 0.9920, SOLVE_P, 0.90, 0, 29, 299, 29, 1244
dyngrid, 0.06, 0.9880, SOLVE_P, 0.90, 0, 29, 204, 29, 1031
dyngrid, 0.10, 0.9800, SOLVE_P, 0.90, 25, 2591, 546426, 53, 6354
