scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_F, 0.90, 0, 29, 435, 29, 1338
dyngrid, 0.08, 0.9840, SOLVE_F, 0.90, 0, 29, 159, 29, 1016
dyngrid, 0.12, 0.9760, SOLVE_F, 0.90, 20, 3076, 4960, 48, 3902
dyngrid, 0.14, 0.9720, SOLVE_F, 0.90, 0, 29, 84, 29, 624
dyngrid, 0.16, 0.9680, SOLVE_F, 0.90, 0, 29, 84, 29, 629
dyngrid, 0.18, 0.9640, SOLVE_F, 0.90, 36, 1498, 1752, 76, 1743
dyngrid, 0.20, 0.9600, SOLVE_F, 0.90, 4, 195, 249, 35, 944
dyngrid, 0.22, 0.9560, SOLVE_F, 0.90, 2, 112, 153, 32, 900
dyngrid, 0.27, 0.9460, SOLVE_F, 0.90, 0, 80, 80, 80, 1117
dyngrid, 0.32, 0.9360, SOLVE_F, 0.90, 0, 31, 31, 31, 715
dyngrid, 0.37, 0.9260, SOLVE_F, 0.90, 0, 84, 84, 84, 1556
dyngrid, 0.42, 0.9160, SOLVE_F, 0.90, 0, 64, 64, 64, 1369
dyngrid, 0.47, 0.9060, SOLVE_F, 0.90, 0, 30, 30, 30, 960
dyngrid, 0.52, 0.8960, SOLVE_F, 0.90, 0, 33, 0, 33, 1031
dyngrid, 0.57, 0.8860, SOLVE_F, 0.90, 0, 29, 0, 29, 1296
dyngrid, 0.62, 0.8760, SOLVE_F, 0.90, 0, 89, 0, 89, 2102
dyngrid, 0.67, 0.8660, SOLVE_F, 0.90, 0, 29, 0, 29, 1290
dyngrid, 0.72, 0.8560, SOLVE_F, 0.90, 0, 107, 0, 107, 2851
dyngrid, 0.77, 0.8460, SOLVE_F, 0.90, 0, 29, 0, 29, 1399
dyngrid, 0.82, 0.8360, SOLVE_F, 0.90, 0, 37, 0, 37, 1338
dyngrid, 0.87, 0.8260, SOLVE_F, 0.90, 0, 35, 0, 35, 1808
dyngrid, 0.92, 0.8160, SOLVE_F, 0.90, 0, 54, 0, 54, 2167
dyngrid, 0.97, 0.8060, SOLVE_F, 0.90, 0, 52, 0, 52, 2348
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_F, 0.90, 0, 29, 435, 29, 1265
dyngrid, 0.04, 0.9920, SOLVE_F, 0.90, 0, 29, 299, 29, 1151
dyngrid, 0.06, 0.9880, SOLVE_F, 0.90, 2, 2350, 6338, 30, 5307
dyngrid, 0.08, 0.9840, SOLVE_F, 0.90, 3, 1709, 3674, 31, 3629
dyngrid, 0.12, 0.9760, SOLVE_F, 0.90, 4, 860, 1367, 37, 1860
dyngrid, 0.14, 0.9720, SOLVE_F, 0.90, 60, 5773, 7362, 91, 4368
dyngrid, 0.16, 0.9680, SOLVE_F, 0.90, 13, 1185, 1643, 42, 1862
dyngrid, 0.18, 0.9640, SOLVE_F, 0.90, 62, 2514, 2920, 102, 2226
dyngrid, 0.20, 0.9600, SOLVE_F, 0.90, 8, 230, 297, 39, 841
dyngrid, 0.22, 0.9560, SOLVE_F, 0.90, 39, 1633, 1900, 73, 1846
dyngrid, 0.27, 0.9460, SOLVE_F, 0.90, 0, 39, 39, 39, 811
dyngrid, 0.32, 0.9360, SOLVE_F, 0.90, 0, 52, 52, 52, 798
dyngrid, 0.37, 0.9260, SOLVE_F, 0.90, 0, 30, 30, 30, 740
dyngrid, 0.42, 0.9160, SOLVE_F, 0.90, 0, 30, 30, 30, 623
dyngrid, 0.47, 0.9060, SOLVE_F, 0.90, 0, 29, 29, 29, 856
dyngrid, 0.52, 0.8960, SOLVE_F, 0.90, 0, 29, 0, 29, 837
dyngrid, 0.57, 0.8860, SOLVE_F, 0.90, 0, 29, 0, 29, 1027
dyngrid, 0.62, 0.8760, SOLVE_F, 0.90, 0, 29, 0, 29, 1104
dyngrid, 0.67, 0.8660, SOLVE_F, 0.90, 0, 60, 0, 60, 1758
dyngrid, 0.72, 0.8560, SOLVE_F, 0.90, 0, 29, 0, 29, 1411
dyngrid, 0.77, 0.8460, SOLVE_F, 0.90, 0, 29, 0, 29, 1444
dyngrid, 0.82, 0.8360, SOLVE_F, 0.90, 0, 34, 0, 34, 1305
dyngrid, 0.87, 0.8260, SOLVE_F, 0.90, 0, 38, 0, 38, 1831
dyngrid, 0.92, 0.8160, SOLVE_F, 0.90, 0, 63, 0, 63, 2813
dyngrid, 0.97, 0.8060, SOLVE_F, 0.90, 0, 40, 0, 40, 2127
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
