rc,p,ontime,timeout
0.9,0.0,27,20
0.9,0.02,47,0
0.9,0.04,47,0
0.9,0.06,47,0
0.9,0.08,47,0
0.9,0.1,47,0
0.9,0.12,47,0
0.9,0.14,47,0
0.9,0.16,47,0
0.9,0.18,47,0
0.9,0.2,47,0
0.9,0.22,47,0
0.9,0.27,47,0
0.9,0.32,46,0
0.9,0.37,46,0
0.9,0.42,46,0
0.9,0.47,46,0
0.9,0.52,46,0
0.9,0.57,46,0
0.9,0.62,45,1
0.9,0.67,46,0
0.9,0.72,46,0
0.9,0.77,46,0
0.9,0.82,46,0
0.9,0.87,46,0
0.9,0.92,46,0
0.9,0.97,46,0
1.0,0.0,8,12
1.0,0.02,19,0
1.0,0.04,20,0
1.0,0.06,20,0
1.0,0.08,19,0
1.0,0.1,19,0
1.0,0.12,19,0
1.0,0.14,19,0
1.0,0.16,19,0
1.0,0.18,19,0
1.0,0.2,19,0
1.0,0.22,19,0
1.0,0.27,19,0
1.0,0.32,19,0
1.0,0.37,19,0
1.0,0.42,19,0
1.0,0.47,19,0
1.0,0.52,19,0
1.0,0.57,19,0
1.0,0.62,19,0
1.0,0.67,19,0
1.0,0.72,19,0
1.0,0.77,19,0
1.0,0.82,19,0
1.0,0.87,19,0
1.0,0.92,19,0
1.0,0.97,19,0
