rc,p,ontime,timeout
0.9,0.0,28,6
0.9,0.02,28,7
0.9,0.04,2,32
0.9,0.06,5,28
0.9,0.08,3,30
0.9,0.1,12,21
0.9,0.12,9,24
0.9,0.14,22,11
0.9,0.16,20,13
0.9,0.18,33,0
0.9,0.2,33,0
0.9,0.22,33,0
0.9,0.27,33,0
0.9,0.32,33,0
0.9,0.37,33,0
0.9,0.42,33,0
0.9,0.47,33,0
0.9,0.52,33,0
0.9,0.57,33,0
0.9,0.62,33,0
0.9,0.67,33,0
0.9,0.72,33,0
0.9,0.77,33,0
0.9,0.82,33,0
0.9,0.87,33,0
0.9,0.92,33,0
0.9,0.97,33,0
0.5,0.0,18,2
0.5,0.02,17,3
0.5,0.04,18,2
0.5,0.06,16,4
0.5,0.08,20,0
0.5,0.1,18,2
0.5,0.12,15,5
0.5,0.14,17,3
0.5,0.16,12,8
0.5,0.18,1,19
0.5,0.2,0,20
0.5,0.22,1,19
0.5,0.27,2,18
0.5,0.32,1,19
0.5,0.37,2,17
0.5,0.42,1,19
0.5,0.47,2,18
0.5,0.52,2,17
0.5,0.57,8,12
0.5,0.62,11,9
0.5,0.67,16,4
0.5,0.72,17,3
0.5,0.77,19,1
0.5,0.82,19,1
0.5,0.87,20,0
0.5,0.92,20,0
0.5,0.97,20,0
0.1,0.0,14,6
0.1,0.02,17,1
0.1,0.04,16,2
0.1,0.06,18,1
0.1,0.08,17,1
0.1,0.1,18,0
0.1,0.12,16,2
0.1,0.14,14,5
0.1,0.16,11,7
0.1,0.18,15,4
0.1,0.2,14,6
0.1,0.22,16,3
0.1,0.27,15,3
0.1,0.32,15,4
0.1,0.37,11,7
0.1,0.42,13,5
0.1,0.47,9,9
0.1,0.52,6,12
0.1,0.57,0,18
0.1,0.62,0,18
0.1,0.67,0,18
0.1,0.72,0,18
0.1,0.77,0,17
0.1,0.82,1,16
0.1,0.87,0,17
0.1,0.92,0,17
0.1,0.97,0,17
0.7,0.0,13,1
0.7,0.02,13,1
0.7,0.04,11,3
0.7,0.06,14,0
0.7,0.08,11,3
0.7,0.1,0,14
0.7,0.12,0,14
0.7,0.14,0,12
0.7,0.16,0,13
0.7,0.18,0,13
0.7,0.2,6,7
0.7,0.22,2,11
0.7,0.27,5,8
0.7,0.32,6,7
0.7,0.37,6,7
0.7,0.42,10,3
0.7,0.47,13,0
0.7,0.52,13,0
0.7,0.57,13,0
0.7,0.62,13,0
0.7,0.67,12,0
0.7,0.72,12,0
0.7,0.77,13,0
0.7,0.82,13,0
0.7,0.87,13,0
0.7,0.92,12,0
0.7,0.97,12,0
0.3,0.0,39,11
0.3,0.12,38,6
0.3,0.14,41,5
0.3,0.16,39,8
0.3,0.18,33,11
0.3,0.2,33,11
0.3,0.22,34,12
0.3,0.27,22,23
0.3,0.32,0,42
0.3,0.37,3,44
0.3,0.42,1,43
0.3,0.47,2,43
0.3,0.52,3,41
0.3,0.57,3,43
0.3,0.62,2,42
0.3,0.72,6,36
0.3,0.77,2,42
0.3,0.82,12,30
0.3,0.92,17,29
0.3,0.97,19,23
0.3,0.02,38,10
0.3,0.04,36,9
0.3,0.06,39,7
0.3,0.08,37,6
0.3,0.1,37,8
0.3,0.67,5,37
0.3,0.87,12,33
1.0,0.0,19,1
1.0,0.02,20,0
1.0,0.04,20,0
1.0,0.06,20,0
1.0,0.08,20,0
1.0,0.1,20,0
1.0,0.12,20,0
1.0,0.14,20,0
1.0,0.16,20,0
1.0,0.18,20,0
1.0,0.2,19,0
1.0,0.22,20,0
1.0,0.27,20,0
1.0,0.32,20,0
1.0,0.37,20,0
1.0,0.42,20,0
1.0,0.47,20,0
1.0,0.52,20,0
1.0,0.57,20,0
1.0,0.62,20,0
1.0,0.67,20,0
1.0,0.72,20,0
1.0,0.77,20,0
1.0,0.82,20,0
1.0,0.87,20,0
1.0,0.92,20,0
1.0,0.97,20,0
0.95,0.0,14,6
0.95,0.02,0,19
0.95,0.04,3,16
0.95,0.06,5,15
0.95,0.08,5,15
0.95,0.1,18,1
0.95,0.12,20,0
0.95,0.14,20,0
0.95,0.16,20,0
0.95,0.18,20,0
0.95,0.2,20,0
0.95,0.22,20,0
0.95,0.27,20,0
0.95,0.32,20,0
0.95,0.37,20,0
0.95,0.42,20,0
0.95,0.47,20,0
0.95,0.52,20,0
0.95,0.57,20,0
0.95,0.62,20,0
0.95,0.67,20,0
0.95,0.72,20,0
0.95,0.77,20,0
0.95,0.82,20,0
0.95,0.87,20,0
0.95,0.92,20,0
0.95,0.97,20,0
