scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, SOLVE_F, 0.90, 1, 739, 5444, 52, 6728, ontime, 59.20
dyngrid, 0.02, 0.9960, SOLVE_F, 0.90, 1, 788, 4424, 50, 5548, ontime, 58.00
dyngrid, 0.04, 0.9920, SOLVE_F, 0.90, 0, 2991, 10726, 4, 10136, timeout, 4.00
dyngrid, 0.06, 0.9880, SOLVE_F, 0.90, 0, 3720, 10625, 12, 10139, timeout, 12.80
dyngrid, 0.08, 0.9840, SOLVE_F, 0.90, 0, 7696, 15201, 52, 10166, timeout, 56.20
dyngrid, 0.10, 0.9800, SOLVE_F, 0.90, 0, 7620, 13102, 54, 10129, timeout, 54.00
dyngrid, 0.12, 0.9760, SOLVE_F, 0.90, 0, 9449, 14303, 126, 10137, timeout, 130.00
dyngrid, 0.14, 0.9720, SOLVE_F, 0.90, 0, 532, 709, 50, 1319, ontime, 51.60
dyngrid, 0.16, 0.9680, SOLVE_F, 0.90, 0, 13078, 16753, 334, 8289, ontime, 351.40
dyngrid, 0.18, 0.9640, SOLVE_F, 0.90, 0, 6679, 7795, 476, 4887, ontime, 508.60
dyngrid, 0.20, 0.9600, SOLVE_F, 0.90, 0, 21, 41, 42, 711, ontime, 45.20
dyngrid, 0.22, 0.9560, SOLVE_F, 0.90, 0, 3042, 3533, 232, 2910, ontime, 250.00
dyngrid, 0.27, 0.9460, SOLVE_F, 0.90, 0, 112, 112, 224, 1647, ontime, 224.80
dyngrid, 0.32, 0.9360, SOLVE_F, 0.90, 0, 21, 21, 42, 655, ontime, 45.20
dyngrid, 0.37, 0.9260, SOLVE_F, 0.90, 0, 41, 41, 82, 862, ontime, 83.60
dyngrid, 0.42, 0.9160, SOLVE_F, 0.90, 0, 95, 95, 190, 2163, ontime, 191.60
dyngrid, 0.47, 0.9060, SOLVE_F, 0.90, 0, 61, 61, 122, 1753, ontime, 123.60
dyngrid, 0.52, 0.8960, SOLVE_F, 0.90, 0, 20, 0, 40, 648, ontime, 42.40
dyngrid, 0.57, 0.8860, SOLVE_F, 0.90, 0, 63, 0, 126, 1841, ontime, 126.00
dyngrid, 0.62, 0.8760, SOLVE_F, 0.90, 0, 77, 0, 154, 1724, ontime, 155.60
dyngrid, 0.67, 0.8660, SOLVE_F, 0.90, 0, 69, 0, 138, 2341, ontime, 138.00
dyngrid, 0.72, 0.8560, SOLVE_F, 0.90, 0, 36, 0, 72, 1319, ontime, 74.40
dyngrid, 0.77, 0.8460, SOLVE_F, 0.90, 0, 33, 0, 66, 1345, ontime, 67.60
dyngrid, 0.82, 0.8360, SOLVE_F, 0.90, 0, 33, 0, 66, 771, ontime, 69.20
dyngrid, 0.87, 0.8260, SOLVE_F, 0.90, 0, 50, 0, 100, 1251, ontime, 100.80
dyngrid, 0.92, 0.8160, SOLVE_F, 0.90, 0, 26, 0, 52, 990, ontime, 54.40
dyngrid, 0.97, 0.8060, SOLVE_F, 0.90, 0, 21, 0, 42, 1276, ontime, 43.60
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, SOLVE_F, 0.90, 2, 1172, 8454, 50, 8894, ontime, 59.60
dyngrid, 0.02, 0.9960, SOLVE_F, 0.90, 1, 247, 1477, 46, 2338, ontime, 52.40
dyngrid, 0.04, 0.9920, SOLVE_F, 0.90, 0, 3734, 12086, 6, 10130, timeout, 6.00
dyngrid, 0.06, 0.9880, SOLVE_F, 0.90, 0, 5303, 14855, 16, 10132, timeout, 16.00
dyngrid, 0.08, 0.9840, SOLVE_F, 0.90, 0, 8509, 16755, 66, 10126, timeout, 67.60
dyngrid, 0.10, 0.9800, SOLVE_F, 0.90, 0, 10108, 18106, 104, 10124, timeout, 111.20
dyngrid, 0.12, 0.9760, SOLVE_F, 0.90, 0, 11693, 18280, 164, 10122, timeout, 179.00
dyngrid, 0.14, 0.9720, SOLVE_F, 0.90, 0, 13796, 17854, 398, 9271, ontime, 429.40
dyngrid, 0.16, 0.9680, SOLVE_F, 0.90, 0, 2935, 3848, 102, 2810, ontime, 110.40
dyngrid, 0.18, 0.9640, SOLVE_F, 0.90, 0, 102, 133, 44, 799, ontime, 44.80
dyngrid, 0.20, 0.9600, SOLVE_F, 0.90, 0, 6583, 7659, 488, 4537, ontime, 522.80
dyngrid, 0.22, 0.9560, SOLVE_F, 0.90, 0, 3389, 3936, 266, 3395, ontime, 288.20
