scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 1, 857, 5876, 42, 10169, ontime, 51.60
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 1, 857, 5876, 42, 10194, timeout, 51.60
dyngrid, 0.02, 0.9960, SOLVE_P, 0.90, 0, 20, 210, 40, 1207, ontime, 42.40
dyngrid, 0.04, 0.9920, SOLVE_P, 0.90, 0, 1209, 5337, 0, 10175, timeout, 0.00
dyngrid, 0.06, 0.9880, SOLVE_P, 0.90, 0, 1833, 4953, 6, 10175, timeout, 6.80
dyngrid, 0.08, 0.9840, SOLVE_P, 0.90, 0, 2328, 5050, 22, 10187, timeout, 23.60
dyngrid, 0.14, 0.9720, SOLVE_P, 0.90, 0, 8493, 11655, 178, 10194, timeout, 191.20
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 0, 8413, 11754, 222, 9791, ontime, 237.20
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 0, 2533, 2948, 200, 3097, ontime, 206.60
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 0, 2471, 2901, 224, 3654, ontime, 242.20
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 0, 3133, 3628, 238, 3427, ontime, 256.40
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 101, 101, 202, 1387, ontime, 202.00
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 52, 52, 104, 1177, ontime, 106.40
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 79, 79, 158, 1746, ontime, 158.00
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 51, 51, 102, 1622, ontime, 105.20
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 25, 25, 50, 827, ontime, 51.60
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 68, 0, 136, 1925, ontime, 136.80
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 44, 0, 88, 1603, ontime, 90.40
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 31, 0, 62, 1175, ontime, 63.60
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 50, 0, 100, 2081, ontime, 102.40
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 72, 0, 144, 2631, ontime, 144.80
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 45, 0, 90, 2266, ontime, 93.20
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 77, 0, 154, 3025, ontime, 155.60
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 35, 0, 70, 1812, ontime, 73.20
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 33, 0, 66, 1732, ontime, 66.00
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 34, 0, 68, 1792, ontime, 72.00
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 1, 546, 3323, 42, 6094, ontime, 53.20
dyngrid, 0.02, 0.9960, SOLVE_P, 0.90, 1, 786, 6454, 42, 9491, ontime, 51.60
dyngrid, 0.04, 0.9920, SOLVE_P, 0.90, 0, 2024, 8840, 2, 10163, timeout, 2.00
dyngrid, 0.06, 0.9880, SOLVE_P, 0.90, 0, 2977, 9167, 10, 10170, timeout, 10.00
dyngrid, 0.08, 0.9840, SOLVE_P, 0.90, 0, 1273, 3117, 44, 4218, ontime, 46.40
dyngrid, 0.10, 0.9800, SOLVE_P, 0.90, 0, 6597, 11942, 40, 10166, timeout, 45.00
dyngrid, 0.12, 0.9760, SOLVE_P, 0.90, 0, 9105, 14776, 166, 10164, timeout, 180.80
dyngrid, 0.14, 0.9720, SOLVE_P, 0.90, 0, 10629, 14751, 326, 10160, timeout, 356.20
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 0, 10444, 14513, 238, 10159, timeout, 253.20
