scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout
dyngrid, 0.00, 1.0000, RANDOM, 0.90, 0, 32, 214, 32, 1071, ontime
dyngrid, 0.02, 0.9960, RANDOM, 0.90, 0, 439, 1104, 439, 3035, ontime
dyngrid, 0.04, 0.9920, RANDOM, 0.90, 0, 63, 243, 63, 1270, ontime
dyngrid, 0.06, 0.9880, RANDOM, 0.90, 0, 583, 1348, 583, 5031, ontime
dyngrid, 0.08, 0.9840, RANDOM, 0.90, 0, 230, 610, 230, 2561, ontime
dyngrid, 0.10, 0.9800, RANDOM, 0.90, 0, 297, 766, 297, 2508, ontime
dyngrid, 0.12, 0.9760, RANDOM, 0.90, 0, 71, 193, 71, 1332, ontime
dyngrid, 0.14, 0.9720, RANDOM, 0.90, 0, 135, 321, 135, 1748, ontime
dyngrid, 0.16, 0.9680, RANDOM, 0.90, 0, 166, 380, 166, 1613, ontime
dyngrid, 0.18, 0.9640, RANDOM, 0.90, 0, 99, 197, 99, 1234, ontime
dyngrid, 0.20, 0.9600, RANDOM, 0.90, 0, 136, 271, 136, 1618, ontime
dyngrid, 0.22, 0.9560, RANDOM, 0.90, 0, 106, 211, 106, 1758, ontime
dyngrid, 0.27, 0.9460, RANDOM, 0.90, 0, 65, 65, 65, 1058, ontime
dyngrid, 0.32, 0.9360, RANDOM, 0.90, 0, 49, 49, 49, 1017, ontime
dyngrid, 0.37, 0.9260, RANDOM, 0.90, 0, 139, 139, 139, 1812, ontime
dyngrid, 0.42, 0.9160, RANDOM, 0.90, 0, 60, 60, 60, 859, ontime
dyngrid, 0.47, 0.9060, RANDOM, 0.90, 0, 134, 134, 134, 2035, ontime
dyngrid, 0.52, 0.8960, RANDOM, 0.90, 0, 34, 0, 34, 906, ontime
dyngrid, 0.57, 0.8860, RANDOM, 0.90, 0, 70, 0, 70, 1561, ontime
dyngrid, 0.62, 0.8760, RANDOM, 0.90, 0, 20, 0, 20, 583, ontime
dyngrid, 0.67, 0.8660, RANDOM, 0.90, 0, 58, 0, 58, 1672, ontime
dyngrid, 0.72, 0.8560, RANDOM, 0.90, 0, 40, 0, 40, 1488, ontime
dyngrid, 0.77, 0.8460, RANDOM, 0.90, 0, 72, 0, 72, 2201, ontime
dyngrid, 0.82, 0.8360, RANDOM, 0.90, 0, 29, 0, 29, 542, ontime
dyngrid, 0.87, 0.8260, RANDOM, 0.90, 0, 22, 0, 22, 836, ontime
dyngrid, 0.92, 0.8160, RANDOM, 0.90, 0, 37, 0, 37, 1033, ontime
dyngrid, 0.97, 0.8060, RANDOM, 0.90, 0, 48, 0, 48, 1616, ontime
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout
dyngrid, 0.00, 1.0000, RANDOM, 0.90, 0, 1586, 3814, 1584, 10135, timeout
dyngrid, 0.02, 0.9960, RANDOM, 0.90, 0, 130, 392, 130, 1603, ontime
dyngrid, 0.04, 0.9920, RANDOM, 0.90, 0, 875, 2129, 875, 5232, ontime
dyngrid, 0.06, 0.9880, RANDOM, 0.90, 0, 85, 288, 85, 1409, ontime
dyngrid, 0.08, 0.9840, RANDOM, 0.90, 0, 38, 144, 38, 922, ontime
dyngrid, 0.10, 0.9800, RANDOM, 0.90, 0, 42, 138, 42, 940, ontime
