
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_F, 0.90, 0, 29, 435, 29, 1175
dyngrid, 0.02, 0.9998, SOLVE_F, 0.90, 1, 1777, 37978549, 32, 20097
dyngrid, 0.04, 0.9996, SOLVE_F, 0.90, 1, 20, 4208, 31, 782
dyngrid, 0.06, 0.9994, SOLVE_F, 0.90, 1, 6, 181, 32, 597
dyngrid, 0.08, 0.9992, SOLVE_F, 0.90, 1, 9, 603, 31, 702
dyngrid, 0.10, 0.9990, SOLVE_F, 0.90, 1, 9, 319, 34, 585
dyngrid, 0.12, 0.9988, SOLVE_F, 0.90, 1, 9, 590, 31, 731
dyngrid, 0.14, 0.9986, SOLVE_F, 0.90, 1, 77, 11923, 34, 1274
dyngrid, 0.16, 0.9984, SOLVE_F, 0.90, 1, 9, 542, 34, 648
dyngrid, 0.18, 0.9982, SOLVE_F, 0.90, 1, 71, 5763, 34, 1292
dyngrid, 0.20, 0.9980, SOLVE_F, 0.90, 0, 29, 435, 29, 1269
dyngrid, 0.22, 0.9978, SOLVE_F, 0.90, 2, 213, 247233, 37, 1912
dyngrid, 0.27, 0.9973, SOLVE_F, 0.90, 0, 29, 435, 29, 1299
dyngrid, 0.32, 0.9968, SOLVE_F, 0.90, 0, 29, 435, 29, 1211
dyngrid, 0.42, 0.9958, SOLVE_F, 0.90, 6, 3045, 102871465, 29, 15700
dyngrid, 0.47, 0.9953, SOLVE_F, 0.90, 0, 29, 407, 29, 1290
dyngrid, 0.57, 0.9943, SOLVE_F, 0.90, 0, 29, 369, 29, 1191
dyngrid, 0.77, 0.9923, SOLVE_F, 0.90, 0, 29, 299, 29, 1091
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_F, 0.90, 1, 47, 12366, 33, 856
dyngrid, 0.06, 0.9880, SOLVE_F, 0.90, 0, 29, 204, 29, 833
dyngrid, 0.10, 0.9800, SOLVE_F, 0.90, 0, 29, 135, 29, 717
dyngrid, 0.14, 0.9720, SOLVE_F, 0.90, 0, 30, 87, 30, 612
dyngrid, 0.16, 0.9680, SOLVE_F, 0.90, 35, 2877, 371146, 62, 3013
dyngrid, 0.18, 0.9640, SOLVE_F, 0.90, 133, 1108, 7402, 177, 2163
dyngrid, 0.20, 0.9600, SOLVE_F, 0.90, 53, 1260, 33911, 91, 1713
dyngrid, 0.22, 0.9560, SOLVE_F, 0.90, 21, 895, 33793, 55, 1389
dyngrid, 0.27, 0.9460, SOLVE_F, 0.90, 0, 249, 249, 249, 1523
dyngrid, 0.32, 0.9360, SOLVE_F, 0.90, 0, 29, 29, 29, 572
dyngrid, 0.37, 0.9260, SOLVE_F, 0.90, 0, 29, 29, 29, 454
dyngrid, 0.42, 0.9160, SOLVE_F, 0.90, 0, 65, 65, 65, 862
dyngrid, 0.47, 0.9060, SOLVE_F, 0.90, 0, 34, 34, 34, 531
dyngrid, 0.52, 0.8960, SOLVE_F, 0.90, 0, 29, 0, 29, 432
dyngrid, 0.57, 0.8860, SOLVE_F, 0.90, 0, 43, 0, 43, 679
dyngrid, 0.62, 0.8760, SOLVE_F, 0.90, 0, 36, 0, 36, 676
dyngrid, 0.67, 0.8660, SOLVE_F, 0.90, 0, 50, 0, 50, 662
dyngrid, 0.72, 0.8560, SOLVE_F, 0.90, 0, 52, 0, 52, 739
dyngrid, 0.77, 0.8460, SOLVE_F, 0.90, 0, 34, 0, 34, 852
dyngrid, 0.82, 0.8360, SOLVE_F, 0.90, 0, 42, 0, 42, 875
dyngrid, 0.87, 0.8260, SOLVE_F, 0.90, 0, 37, 0, 37, 570
dyngrid, 0.92, 0.8160, SOLVE_F, 0.90, 0, 29, 0, 29, 675
dyngrid, 0.97, 0.8060, SOLVE_F, 0.90, 0, 30, 0, 30, 510
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_F, 0.90, 1, 63, 51341, 32, 978
dyngrid, 0.02, 0.9960, SOLVE_F, 0.90, 0, 29, 429, 29, 1118
dyngrid, 0.06, 0.9880, SOLVE_F, 0.90, 0, 29, 204, 29, 904
dyngrid, 0.08, 0.9840, SOLVE_F, 0.90, 0, 30, 165, 30, 829
dyngrid, 0.10, 0.9800, SOLVE_F, 0.90, 0, 32, 150, 32, 769
dyngrid, 0.12, 0.9760, SOLVE_F, 0.90, 24, 4900, 1928915, 56, 5029
dyngrid, 0.16, 0.9680, SOLVE_F, 0.90, 17, 1845, 290304, 48, 2309
dyngrid, 0.18, 0.9640, SOLVE_F, 0.90, 16, 695, 26405, 47, 1193
dyngrid, 0.20, 0.9600, SOLVE_F, 0.90, 0, 29, 57, 29, 612
dyngrid, 0.27, 0.9460, SOLVE_F, 0.90, 0, 30, 30, 30, 630
dyngrid, 0.32, 0.9360, SOLVE_F, 0.90, 0, 45, 45, 45, 589
dyngrid, 0.37, 0.9260, SOLVE_F, 0.90, 0, 37, 37, 37, 550
dyngrid, 0.42, 0.9160, SOLVE_F, 0.90, 0, 35, 35, 35, 523
dyngrid, 0.47, 0.9060, SOLVE_F, 0.90, 0, 29, 29, 29, 509
dyngrid, 0.52, 0.8960, SOLVE_F, 0.90, 0, 109, 0, 109, 1210
dyngrid, 0.57, 0.8860, SOLVE_F, 0.90, 0, 45, 0, 45, 1457
dyngrid, 0.62, 0.8760, SOLVE_F, 0.90, 0, 84, 0, 84, 950
dyngrid, 0.67, 0.8660, SOLVE_F, 0.90, 0, 43, 0, 43, 1076
dyngrid, 0.72, 0.8560, SOLVE_F, 0.90, 0, 29, 0, 29, 485
dyngrid, 0.77, 0.8460, SOLVE_F, 0.90, 0, 30, 0, 30, 559
