scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout
dyngrid, 0.00, 1.0000, SOLVE_M, 0.90, 1, 463, 2802, 19, 3729, ontime
dyngrid, 0.02, 0.9960, SOLVE_M, 0.90, 1, 205, 1458, 23, 2097, ontime
dyngrid, 0.04, 0.9920, SOLVE_M, 0.90, 0, 1600, 8272, 4, 10109, timeout
dyngrid, 0.06, 0.9880, SOLVE_M, 0.90, 0, 4601, 12456, 5, 10143, timeout
dyngrid, 0.08, 0.9840, SOLVE_M, 0.90, 0, 6762, 14792, 18, 10106, timeout
dyngrid, 0.10, 0.9800, SOLVE_M, 0.90, 0, 20, 90, 20, 602, ontime
dyngrid, 0.12, 0.9760, SOLVE_M, 0.90, 0, 3683, 5941, 37, 4377, ontime
dyngrid, 0.14, 0.9720, SOLVE_M, 0.90, 0, 4454, 6123, 63, 5162, ontime
dyngrid, 0.16, 0.9680, SOLVE_M, 0.90, 0, 12093, 16464, 132, 10102, timeout
dyngrid, 0.18, 0.9640, SOLVE_M, 0.90, 0, 2067, 2455, 99, 2436, ontime
dyngrid, 0.20, 0.9600, SOLVE_M, 0.90, 0, 8358, 9799, 324, 5867, ontime
dyngrid, 0.22, 0.9560, SOLVE_M, 0.90, 0, 19, 37, 19, 645, ontime
dyngrid, 0.27, 0.9460, SOLVE_M, 0.90, 0, 183, 183, 183, 2006, ontime
dyngrid, 0.32, 0.9360, SOLVE_M, 0.90, 0, 196, 196, 196, 2281, ontime
dyngrid, 0.37, 0.9260, SOLVE_M, 0.90, 0, 21, 21, 21, 571, ontime
dyngrid, 0.42, 0.9160, SOLVE_M, 0.90, 0, 94, 94, 94, 1852, ontime
dyngrid, 0.47, 0.9060, SOLVE_M, 0.90, 0, 93, 93, 93, 1911, ontime
dyngrid, 0.52, 0.8960, SOLVE_M, 0.90, 0, 77, 0, 77, 1183, ontime
dyngrid, 0.57, 0.8860, SOLVE_M, 0.90, 0, 55, 0, 55, 1002, ontime
dyngrid, 0.62, 0.8760, SOLVE_M, 0.90, 0, 77, 0, 77, 1448, ontime
dyngrid, 0.67, 0.8660, SOLVE_M, 0.90, 0, 49, 0, 49, 1423, ontime
dyngrid, 0.72, 0.8560, SOLVE_M, 0.90, 0, 26, 0, 26, 1146, ontime
