scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 0, 29, 435, 29, 1673
dyngrid, 0.06, 0.9880, SOLVE_P, 0.90, 0, 29, 204, 29, 908
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 65, 2739, 3172, 109, 2636
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 85, 3424, 3969, 130, 3199
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 0, 29, 57, 29, 681
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 70, 70, 70, 982
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 233, 233, 233, 2540
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 118, 118, 118, 1584
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 29, 29, 29, 726
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 93, 93, 93, 1899
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 65, 0, 65, 1246
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 29, 0, 29, 1013
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 37, 0, 37, 848
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 135, 0, 135, 3200
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 51, 0, 51, 1548
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 36, 0, 36, 1390
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 83, 0, 83, 1832
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 38, 0, 38, 1154
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 29, 0, 29, 1789
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 31, 0, 31, 1806
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.04, 0.9920, SOLVE_P, 0.90, 0, 31, 325, 31, 1382
dyngrid, 0.08, 0.9840, SOLVE_P, 0.90, 0, 29, 159, 29, 780
dyngrid, 0.10, 0.9800, SOLVE_P, 0.90, 0, 29, 135, 29, 869
dyngrid, 0.12, 0.9760, SOLVE_P, 0.90, 0, 29, 110, 29, 708
dyngrid, 0.14, 0.9720, SOLVE_P, 0.90, 14, 1756, 2430, 44, 2561
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 26, 2580, 3651, 55, 3123
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 130, 4331, 5075, 191, 3964
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 23, 969, 1138, 56, 1870
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 0, 29, 57, 29, 708
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 228, 228, 228, 1962
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 29, 29, 29, 648
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 65, 65, 65, 1585
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 51, 51, 51, 1413
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 34, 34, 34, 1410
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 35, 0, 35, 1408
